Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Waliszewski, Stefan M; Infanzon, Rosa M; Carvajal, Octavio; Maxwell Hart, Mary; ",Removing τ‐fluvalinate residues from press‐extracted honey,Journal of the Science of Food and Agriculture,83,12,1225-1227,2003,"John Wiley & Sons, Ltd. Chichester, UK"
"Acarol, Exp Appl; ","3 Comparison of tau-fluvalinate, acrinathrin, and amitraz 4 effects on susceptible and resistant populations of Varroa 5 destructor in a vial test",,,,,,
"Imdorf, Anton; Bogdanov, Stefan; Ochoa, Rubén Ibáñez; Calderone, Nicholas W; ",Use of essential oils for the control of Varroa jacobsoni Oud. in honey bee colonies,Apidologie,30,02-Mar,209-228,1999,EDP Sciences
"Roth, Morgan Alicia; ","Methods for controlling two European Honey bee (Apis mellifera L.) pests: Varroa mites (Varroa destructor, Anderson and Trueman) And Small hive beetles (Aethina tumida)",,,,,2019,Virginia Tech
"Stort, Antonio Carlos; Gonçalves, Lionel Segui; Malaspina, Osmar; Duarte, Francisco A Moura; ",Study on sineacar effectiveness in controlling Varroa jacobsoni,Apidologie,12,3,289-297,1981,EDP Sciences
"Costa, Cecilia; Lodesani, Marco; Serra, Giorgia; Colombo, Roberto; Sabatini, Anna Gloria; ",Survey of acaricide residues in Italian organic and conventional beeswax,,,,,2008,
"Gregorc, A; Curk, A; ",Decision-tree analysis of Varroa jacobsoni control in honeybee colonies in Slovenia.,Slovenian Veterinary Research,37,3,145-152,2000,"Veterinarska Fakulteta, Univerza v Ljubljani"
"Adjlane, Noureddine; Doumandji, SE; Haddad, N; ",Varroa destructor resistance to fluvalinate in Algeria,Trends Entomol,12,,123-125,2013,
"Ruffinengo, Sergio Roberto; Maggi, Matías Daniel; Fuselli, Sandra Rosa; de Piano, Fiorella Giselle; Negri, Pedro; Brasesco, Maria Constanza; Satta, Alberto; Floris, Ignazio; Eguaras, Martin Javier; ",Bioactivity of microencapsulated essentials oils on the ectoparasitic mite Varroa destructor (Acari: Varroidae) and perspectives of their use in the control of Varroosis,,,,,2014,"Alma Mater Studiorum, Univ Bologna"
"Nageh, SM; MSO, Mabrouk; KM, Mohanna; ",TOLERANCE OF HONEY BEE COLONIES TO VARROA DESTRUCTOR (ANDERSON AND TRUEMAN) AND THE ECONOMIC THRESHOLD OF THE PARASITE IN THE CENTRAL REGION OF KINGDOM OF SAUDI ARABIA,Arab Universities Journal of Agricultural Sciences,18,1,221-226,2010,"Ain Shams University, Faculty of Agriculture"
"Maggi, Matías D; Ruffinengo, Sergio R; Gende, Liesel B; Eguaras, Martín J; Sardella, Norma H; ","LC₅₀ baseline levels of amitraz, coumaphos, fluvalinate and flumethrin in populations of Varroa destructor from Buenos Aires Province, Argentina",,,,,2008,
"Ruiz, JA; Flores, JM; Ruz, JM; Puerta, F; Campano, F; ",Varroa jacobsoni Oud,UNA ALTERNATIVA PARA EL MUNDO RURAL DEL TERCER MILENIO,,,505,,
"Strachecka, Aneta; Borsuk, Grzegorz; Olszewski, Krzysztof; Paleolog, Jerzy; Lipiński, Zbigniew; ",Proteolysis on the body surface of pyrethroid-sensitive and resistant Varroa destructor,Acta Parasitologica,58,,64-69,2013,SP Versita
"Kast, Christina; Kilchenmann, Verena; Droz, Benoît; ",Distribution of coumaphos in beeswax after treatment of honeybee colonies with CheckMite® against the parasitical mite Varroa destructor,Apidologie,51,,112-122,2020,Springer Paris
"Floris, Ignazio; Satta, Alberto; Garau, Vincenzo Luigi; Melis, Marinella; Cabras, Paolo; Aloul, Naima; ","Effectiveness, persistence, and residue of amitraz plastic strips in the apiary control of Varroa destructor",Apidologie,32,6,577-585,2001,EDP Sciences
"Serra Bonvehí, J; Ventura Coll, F; Ruiz Martínez, JA; ",Residues of essential oils in honey after treatments to control Varroa destructor,Journal of essential oil research,28,1,22-28,2016,Taylor & Francis
"Stara, Jitka; Pekar, Stano; Nesvorna, Marta; Kamler, Martin; Doskocil, Ivo; Hubert, Jan; ","Spatio‐temporal dynamics of Varroa destructor resistance to tau‐fluvalinate in Czechia, associated with L925V sodium channel point mutation",Pest management science,75,5,1287-1294,2019,Wiley Online Library
"Tlak-Gajger, Ivana; Tomljanović, Z; Stanisavljević, LJ; ",An environmentally friendly approach to the control of Varroa destructor mite and Nosema ceranae disease in Carniolan honeybee (Apis mellifera carnica) colonies,Archives of Biological Sciences,65,4,1585-1592,2013,
"Benito-Murcia, M; Martín-Hernández, R; Meana, A; Botías, C; Higes, M; ",Study of pyrethroid resistance mutations in populations of Varroa destructor across Spain,Research in Veterinary Science,152,,34-37,2022,Elsevier
"Nganso, Beatrice T; Torto, Baldwyn; ","The effects of crude propolis, its volatiles and ethanolic extracts on the ecto-parasitic mite, Varroa destructor and health of the African savannah honey bee, Apis mellifera scutellata",Parasitology,148,6,696-702,2021,Cambridge University Press
"Mariani, Fernando; Maggi, Matías Daniel; Porrini, Martín Pablo; Fuselli, Sandra Rosa; Caraballo, Gustavo; Brasesco, Maria Constanza; Barrios, Carlos; Principal, Judith; Eguaras, Martin Javier; ",Parasitic interactions between Nosema spp. and Varroa destructor in Apis mellifera colonies,,,,,2012,Instituto Nacional de Investigaciones Agricolas
"Bava, Roberto; Castagna, Fabio; Palma, Ernesto; Musolino, Vincenzo; Carresi, Cristina; Cardamone, Antonio; Lupia, Carmine; Marrelli, Mariangela; Conforti, Filomena; Roncada, Paola; ",Phytochemical Profile of Foeniculum vulgare Subsp. piperitum Essential Oils and Evaluation of Acaricidal Efficacy against Varroa destructor in Apis mellifera by In Vitro and Semi-Field Fumigation Tests,Veterinary Sciences,9,12,684,2022,MDPI
"Liu, Fang; Xu, Xinjian; Zhang, Yuan; Zhao, Hongxia; Huang, Zachary Y; ",A Meta-Analysis shows that screen bottom boards can significantly reduce Varroa destructor population,Insects,11,9,624,2020,MDPI
"Ball, BV; ",Secondary infections and diseases associated with Varroa jacobsoni,Opt. Méditerr,21,,49-58,1997,
"AO, GIRISGIN; AYDIN, Levent; ","Efficacies of Formic, Oxalic and Lactic Acids Against Varroa destructor in Naturally Infested Honeybee (Apis mellifera L.) Colonies in Turkey",KAFKAS ÜNİVERSİTESİ VETERİNER FAKÜLTESİ DERGİSİ,16,6,,,
"Balayiannis, George; Balayiannis, Panos; ",Bee honey as an environmental bioindicator of pesticides’ occurrence in six agricultural areas of Greece,Archives of Environmental Contamination and Toxicology,55,,462-470,2008,Springer-Verlag
"delle Piante, Jstituto di Difesa; ",COMPARATIVE EFFECTIVENESS OF TREATMENTS USED TO CONTROL VARROA „JACOBSON OUD.,Apidologie,15,4,363-378,1984,
"Mendoza, Yamandú; Tomasco, Ivanna H; Antúnez, Karina; Castelli, Loreley; Branchiccela, Belén; Santos, Estela; Invernizzi, Ciro; ",Unraveling honey bee–Varroa destructor interaction: Multiple factors involved in differential resistance between two Uruguayan populations,Veterinary sciences,7,3,116,2020,MDPI
"Boncristiani, Humberto; Underwood, Robyn; Schwarz, Ryan; Evans, Jay D; Pettis, Jeffery; ",Direct effect of acaricides on pathogen loads and gene expression levels in honey bees Apis mellifera,Journal of insect physiology,58,5,613-620,2012,Pergamon
"Hapke, Samuel David; ","Integrated management of Varroa destructor Anderson & Trueman (Acari: Varroidae) in honey bees, Apis mellifera l.(Hymenoptera: Apidae), in western Washington State, USA",,,,,2008,Washington State University
"Kanga, Lambert Houssou Ble; Jones, Walker A; James, Rosalind R; ","Field trials using the fungal pathogen, Metarhizium anisopliae (Deuteromycetes: Hyphomycetes) to control the ectoparasitic mite, Varroa destructor (Acari: Varroidae) in honey bee, Apis mellifera (Hymenoptera: Apidae) colonies",Journal of economic entomology,96,4,1091-1099,2003,"Oxford University Press Oxford, UK"
"Underwood, Robyn M; ","The use of formic acid for control of Varroa destructor Anderson and Trueman and other pests in overwintering honey bee, Apis mellifera L., colonies",,,,,2005,
"Chauzat, Marie‐Pierre; Faucon, Jean‐Paul; ",Pesticide residues in beeswax samples collected from honey bee colonies (Apis mellifera L.) in France,Pest Management Science: formerly Pesticide Science,63,11,1100-1106,2007,Wiley Online Library
"T O’Neal, Scott; Anderson, Troy D; Wu-Smart, Judy Y; ",Interactions between pesticides and pathogen susceptibility in honey bees,Current opinion in insect science,26,,57-62,2018,Elsevier
"Millán-Leiva, Anabel; Marín, Óscar; De la Rúa, Pilar; Muñoz, Irene; Tsagkarakou, Anastasia; Eversol, Heather; Christmon, Krisztina; VanEngelsdorp, Dennis; Gonzalez-Cabrera, Joel; ",Mutations associated with pyrethroid resistance in the honey bee parasite Varroa destructor evolved as a series of parallel and sequential events,Journal of Pest Science,,,Jan-13,2021,Springer Berlin Heidelberg
"Aziz, Muhammad Asif; Azeem, Muhammad; Ahmed, Muhammad Sheeraz; Siddique, Farva; Jamal, Muhammad; ","Control of Varroa destructor Anderson and Trueman (Acari: Varroidae) on Apis mellifera linguistica by using thymol and formic acid in Pothwar region of Punjab, Pakistan",Asian J. Agric. Biol,3,,150-154,2015,
"Hýbl, Marian; Bohatá, Andrea; Rádsetoulalová, Iva; Kopecký, Marek; Hoštičková, Irena; Vaníčková, Alena; Mráz, Petr; ",Evaluating the efficacy of 30 different essential oils against Varroa destructor and honey bee workers (Apis mellifera),Insects,12,11,1045,2021,MDPI
"Stanimirovic, Zoran; Glavinic, Uros; Jovanovic, Nemanja M; Ristanic, Marko; Milojković-Opsenica, Dušanka; Mutic, Jelena; Stevanovic, Jevrosima; ","Preliminary trials on effects of lithium salts on Varroa destructor, honey and wax matrices",Journal of Apicultural Research,61,3,375-391,2022,Taylor & Francis
"Conlon, Benjamin H; Kastally, Chedly; Kardell, Marina; Kefuss, John; Moritz, Robin FA; Routtu, Jarkko; ",Selection for outbreeding in Varroa parasitising resistant honey bee (Apis mellifera) colonies,Ecology and Evolution,10,14,7806-7811,2020,Wiley Online Library
"Sajid, Zul Norain; Aziz, Muhammad Asif; Bodlah, Imran; Rana, Rashid Mehmood; Ghramh, Hamed A; Khan, Khalid Ali; ","Efficacy assessment of soft and hard acaricides against Varroa destructor mite infesting honey bee (Apis mellifera) colonies, through sugar roll method",Saudi Journal of Biological Sciences,27,1,53-59,2020,Elsevier
"Damiani, Natalia; Gende, Liesel B; Maggi, Matías D; Palacios, Sara; Marcangeli, Jorge A; Eguaras, Martín J; ",Repellent and acaricidal effects of botanical extracts on Varroa destructor,Parasitology research,108,,79-86,2011,Springer-Verlag
"Nozal, María Jesús; Imaz, Edgar; Bernal, José Luis; Nieto, José Luis; Higes, Mariano; Bernal, José; ",An optimized extraction procedure for determining acaricide residues in foundation sheets of beeswax by using gas chromatography-mass spectrometry,Agronomy,11,4,804,2021,MDPI
"Hatjina, F; Haristos, L; ",Indirect effects of oxalic acid administered by trickling method on honey bee brood,Journal of apicultural research,44,4,172-174,2005,Taylor & Francis
"López, Sonia Herrera; Lozano, Ana; Sosa, Alexis; Hernando, M Dolores; Fernández-Alba, Amadeo R; ",Screening of pesticide residues in honeybee wax comb by LC-ESI-MS/MS. A pilot study,Chemosphere,163,,44-53,2016,Elsevier
"Singh, Rupinder; ",Genomics of neuropeptide signaling system in Varroa mites Varroa destructor and Varroa jacobsoni,,,,,2021,
"Cabras, Paolo; Martini, M Gisella; Floris, Ignazio; Spanedda, Lorenzo; ",Residues of cymiazole in honey and honey bees,Journal of Apicultural Research,33,2,83-86,1994,Taylor & Francis
"Gregorc, Aleš; Škerl, Maja Ivana Smodiš; ",Toxicological and immunohistochemical testing of honeybees after oxalic acid and rotenone treatments,Apidologie,38,3,296-305,2007,EDP Sciences
"Hacib, Hinda; Berkani-Ghalem, Zohra; Berkani, Mohamed Laid; ","Acaricidal effects of essential oils from Rosmarinus officinalis L, and Mentha spicata L against Varroa destructor (Mesostigmata: Varroidae) agent of the varroatoose bee.",Advances in Environmental Biology,10,7,148-155,2016,American-Eurasian Network for Scientific Information
"Vlogiannitis, Spyridon; Jonckheere, Wim; Laget, Dries; de Graaf, Dirk C; Vontas, John; Van Leeuwen, Thomas; ","Pyrethroid target-site resistance mutations in populations of the honey bee parasite Varroa destructor (Acari: Varroidae) from Flanders, Belgium",Experimental and Applied Acarology,85,02-Apr,205-221,2021,Springer International Publishing Cham
"Danka, Robert G; Harris, Jeffery W; Dodds, Garrett E; ",Selection of VSH-derived “Pol-line” honey bees and evaluation of their Varroa-resistance characteristics,Apidologie,47,,483-490,2016,Springer Paris
"Gashout, Hanan A; Goodwin, Paul H; Guzman-Novoa, Ernesto; ",Lethality of synthetic and natural acaricides to worker honey bees (Apis mellifera) and their impact on the expression of health and detoxification-related genes,Environmental Science and Pollution Research,25,,34730-34739,2018,Springer Berlin Heidelberg
"Betlyaeva, Faniya H; ",Acaricidal activity of the fungus Fomitopsis officionalis in varroatosis of the honey bees,Tyumen State University Herald,,6,Nov-16,2013,Федеральное государственное автономное образовательное учреждение высшего …
"Petrić, Zvonimir; Žuntar, Irena; Kovačević, Danijela Bursać; Putnik, Predrag; ",Food-drug interactions: focus on fruit juices,Arhiv Za Higijenu Rada i Toksikologiju,72,,58-58,2021,Institute for Medical Research and Occupational Health
"Pohorecka, K; Bober, A; ",Resistance of Varroa destructor to the most commonly used acaricides.,Medycyna Weterynaryjna,63,8,904-908,2007,Polskiego Towarzystwa Nauk Weterynaryjnych
"Calderone, Nicholas W; ",Evaluating subsampling methods for estimating numbers of Varroa jacobsoni mites (Acari: Varroidae) collected on sticky-boards,Journal of economic entomology,92,5,1057-1061,1999,"Oxford University Press Oxford, UK"
"Lodesani, Marco; Colombo, Mauro; Spreafico, M; ",Ineffectiveness of Apistan® treatment against the mite Varroa jacobsoni Oud in several districts of Lombardy (Italy),Apidologie,26,1,67-72,1995,EDP Sciences
"Mozes-Koch, R; Slabezki, Y; Efrat, H; Kalev, H; Kamer, Y; Yakobson, BA; Dag, A; ",First detection in Israel of fluvalinate resistance in the varroa mite using bioassay and biochemical methods,Experimental & applied acarology,24,,35-43,2000,Kluwer Academic Publishers
"Russo, Romina M; Liendo, Maria C; Landi, Lucas; Pietronave, Hernán; Merke, Julieta; Fain, Hernán; Muntaabski, Irina; Palacio, Maria A; Rodríguez, Graciela A; Lanzavecchia, Silvia B; ",Grooming behavior in naturally Varroa-resistant Apis mellifera colonies from north-central Argentina,Frontiers in Ecology and Evolution,8,,590281,2020,Frontiers Media SA
"Nanetti, Antonio; ",Oxalic acid for mite control—results and review,Coordination in Europe of Research on Integrated Varroa Mites in Honey Bee Colonies,,,Sep-15,1999,"Commission of the European Communities Gent, Belgium"
"Serra‐Bonvehí, Josep; Orantes‐Bermejo, José; ",Acaricides and their residues in Spanish commercial beeswax,Pest management science,66,11,1230-1235,2010,Wiley Online Library
"Milani, Norberto; ",Activity of oxalic and citric acids on the mite Varroa destructor in laboratory assays,Apidologie,32,2,127-138,2001,EDP Sciences
"Rosenkranz, Peter; ",Honey bee (Apis mellifera L.) tolerance to Varroa jacobsoni Oud. in South America,Apidologie,30,02-Mar,159-172,1999,EDP Sciences
"Stara, Jitka; Pekar, Stano; Nesvorna, Marta; Erban, Tomas; Vinsova, Hana; Kopecky, Jan; Doskocil, Ivo; Kamler, Martin; Hubert, Jan; ",Detection of tau-fluvalinate resistance in the mite Varroa destructor based on the comparison of vial test and PCR–RFLP of kdr mutation in sodium channel gene,Experimental and Applied Acarology,77,2,161-171,2019,Springer International Publishing Cham
"Garrido, Paula Melisa; Antúnez, Karina; Martín, Mariana; Porrini, Martín Pablo; Zunino, Pablo; Eguaras, Martín Javier; ",Immune-related gene expression in nurse honey bees (Apis mellifera) exposed to synthetic acaricides,Journal of insect physiology,59,1,113-119,2013,Elsevier
"Kobeasy,  MI; Ali, Hanaa; ",MITICIDAL ACTIVITY OF CLOVE ESSENTIAL OIL AND ITS MAJOR COMPOUND AS POTENTIAL CONTROL AGAINST Varroa jacobsoni MITES IN HONEY BEE.,Journal of Soil Sciences and Agricultural Engineering,29,11,6729-6740,2004,"Mansoura University, Faculty of Agriculture"
"Kolics, Balázs; Kolics, Éva; Mátyás, Kinga; Taller, János; Specziár, András; ",Comparison of alternative application methods for anti-Varroa lithium chloride treatments,Insects,13,7,633,2022,MDPI
"Odemer, Richard; Rosenkranz, Peter; ",Chronic exposure to a neonicotinoid pesticide and a synthetic pyrethroid in full-sized honey bee colonies,Journal of Apicultural Research,59,1,02-Nov,2020,Taylor & Francis
"Kim, Won Tae; Lee, Myung Ryul; Choi, Ji Young; Kim, Jong Gill; Choi, Young Cheol; Park, Kwan Ho; Jeong, Gil Sang; Lee, Dae-Weon; Koh, Young Ho; ","Bioassay Associated with Tau-fluvalinate Resistance in the Mite, Varroa destructor, from Korea",2009 년도 한국응용곤충학회 춘계학술발표회,,,122-122,2009,
"Eguaras, Martin Javier; Labattaglia, M; Faverin, C; Del Hoyo, M; Palacio, MA; Carrin, M; Rodriguez, G; Ruffinengo, Sergio Roberto; Bedascarrasbure, E; ",Varroa jacobsoni control with formic acid used in different application ways in subtropical and temperate climates,,,,,2001,FIITEA
"Eguaras, MARTIN; Hoyo, MD; Benavente, AP; Velis, G; Floris, I; Satta, A; ",Rotenone for Varroa destructor control: effectiveness in field trials,Biopesticide International,1,1,2,2005,
"l GREGORC, Ales; PLANINC, Ivo; ",Acaricidal effect of oxalic acid in honeybee (Apis mellifera) colonies,Apidologie,32,,333-340,2001,
"Onayemi, Stephen O; Hopkins, Brandon K; Sheppard, Walter S; ",Elevated CO2 Increases Overwintering Mortality of Varroa destructor (Mesostigmata: Varroidae) in Honey Bee (Hymenoptera: Apidae) Colonies,Journal of Economic Entomology,115,4,1054-1058,2022,Oxford University Press US
"Wallner, Klaus; Fries, Ingemar; ",Control of the mite Varroa destructor in honey bee colonies,Pesticide Outlook,14,2,80-84,2003,Royal Society of Chemistry
"Goras, Georgios; Tananaki, CH; Gounari, Sofia; Dimou, Maria; Lazaridou, Elisavet; Karazafiris, Emmanouel; Kanelis, Dimitrios; Liolios, Vasileios; El Taj, Hasan F; Thrasyvoulou, Andreas; ",Hyperthermia-a non-chemical control strategy against varroa,Journal of the Hellenic Veterinary Medical Society,66,4,249-256,2015,
"Arslan, Okan Can; ","Behavioral and molecular impact of a stress factor, acaricide perizin on honey bees (apis mellifera) of Turkey",,,,,2020,Middle East Technical University
"Millán-Leiva, Anabel; Hernández-Rodríguez, Carmen Sara; González-Cabrera, Joel; ",New PCR–RFLP diagnostics methodology for detecting Varroa destructor resistant to synthetic pyrethroids,Journal of Pest Science,91,,937-941,2018,Springer Berlin Heidelberg
"Lindberg, Christopher M; Melathopoulos, Adony P; Winston, Mark L; ","Laboratory evaluation of miticides to control Varroa jacobsoni (Acari: Varroidae), a honey bee (Hymenoptera: Apidae) parasite",Journal of economic entomology,93,2,189-198,2000,"Oxford University Press Oxford, UK"
"Cheruiyot, Sammy Kiprotich; Kahuthia-Gathu, Ruth; Mbugi, Jenard Patrick; Muli, Elliud; Lattorff, H Michael G; ",Population abundance of Varroa destructor and its effects on Apis mellifera scutellata colonies in Kenya,Experimental and Applied Acarology,82,,171-184,2020,Springer International Publishing
"GIRISGIN, Ahmet Onur; OZUICLI, Mehmet; Bah, Saidal Ali; GIRISGIN, Oya; AYDIN, Levent; ",Evaluation of some synthetic acaricides against Varroa destructor (Acari: Varroidae) in Turkey: an indication of resistance or misuse of fumigant amitraz?,Journal of Research in Veterinary Medicine,38,1,67-70,2019,Bursa Uludağ University
"Ellis, AM; Hayes, GW; Ellis, JD; ",The efficacy of small cell foundation as a varroa mite (Varroa destructor) control,Experimental and Applied Acarology,47,4,311-316,2009,Springer
"Garedew, Assegid; Schmolz, Erik; Lamprecht, Ingolf; ",Microcalorimetric and respirometric investigation of the effect of temperature on the antivarroa action of the natural bee product-propolis,Thermochimica Acta,399,01-Feb,171-180,2003,Elsevier
"Garrido, Paula Melisa; Porrini, Martín Pablo; Antúnez, Karina; Branchiccela, Belén; Martínez-Noël, Giselle María Astrid; Zunino, Pablo; Salerno, Graciela; Eguaras, Martín Javier; Ieno, Elena; ",Sublethal effects of acaricides and Nosema ceranae infection on immune related gene expression in honeybees,Veterinary Research,47,,01-Sep,2016,BioMed Central
"Nazzi, Francesco; Bortolomeazzi, Renzo; Della Vedova, Giorgio; Del Piccolo, Fabio; Annoscia, Desiderato; Milani, Norberto; ",Octanoic acid confers to royal jelly varroa-repellent properties,Naturwissenschaften,96,,309-314,2009,Springer-Verlag
"Calatayud, F; Verdu, MJ; ",Hive debris counts in honeybee colonies: a method to estimate the size of small populations and rate of growth of the mite Varroa jacobsoni Oud.(Mesostigmata: Varroidae),Experimental & applied acarology,17,12,889-894,1993,Kluwer Academic Publishers Dordrecht
"Ilyasov, RA; Farkhutdinov, RG; Shareeva, ZV; ",Influence of acaricides amitraz and fluvalinate on average daily egg and total honey productivity of honey bee colonies,Биомика,6,2,73-76,2014,Федеральное государственное бюджетное учреждение науки Институт биохимии и …
"El-Gendy, Rehab Mahmoud; Sakla, Rasha Shoukry; ",Efficacy of Carum carvi essential oil against the parasitic varroa mite and its impact on honeybee Apis mellifera L.,Catrina: The International Journal of Environmental Sciences,25,1,17-26,2022,Egyptian Society for Environmental Sciences
"Wantuch, Holly Anne; ",Modified Drone-Brood Removal to Control Varroa destructor in Apis mellifera Colonies,,,,,2009,
"Bahrami, Milad; Mohammadzadeh, Davood; Emami, Seyyed Jamal; Rabiee, Mohammad Hasan; Bokaie, Saied; ","A survey on prevalence and risk factors of Varroasis in West Azerbaijan, Iran",International Journal of Acarology,44,04-May,185-188,2018,Taylor & Francis
"Kamel, Alaa; Al-Ghamdi, Ahmad; ",Determination of acaricide residues in Saudi Arabian honey and beeswax using solid phase extraction and gas chromatography,Journal of Environmental Science and Health Part B,41,2,159-165,2006,Taylor & Francis
"Rinkevich, Frank D; ","Detection of amitraz resistance and reduced treatment efficacy in the Varroa Mite, Varroa destructor, within commercial beekeeping operations",PloS one,15,1,e0227264,2020,"Public Library of Science San Francisco, CA USA"
"Baggio, ALESSANDRA; Arculeo, Pietro; Nanetti, Antonio; Marinelli, Enzo; Mutinelli, Franco; ",Field trials with different thymol-based products for the control of varoosis,American Bee Journal,144,5,395-400,2004,"[Hamilton, Ill.: Dadant & Sons], 1861-"
"Hillayová, Michaela Korená; Korený, Ľubomír; Škvarenina, Jaroslav; ",The local environmental factors impact the infestation of bee colonies by mite Varroa destructor,Ecological Indicators,141,,109104,2022,Elsevier
"Milani, Norberto; ",The resistance of Varroa jacobsoni Oud to pyrethroids: a laboratory assay,Apidologie,26,5,415-429,1995,EDP Sciences
"Mondet, Fanny; Beaurepaire, Alexis; McAfee, Alison; Locke, Barbara; Alaux, Cédric; Blanchard, Solene; Danka, Bob; Le Conte, Yves; ",Honey bee survival mechanisms against the parasite Varroa destructor: a systematic review of phenotypic and genomic research efforts,International journal for parasitology,50,06-Jul,433-447,2020,Elsevier
"O'Neal, Scott T; Brewster, Carlyle C; Bloomquist, Jeffrey R; Anderson, Troy D; ",Amitraz and its metabolite modulate honey bee cardiac function and tolerance to viral infection,Journal of invertebrate pathology,149,,119-126,2017,Elsevier
"Farjamfar, Mahsa; Saboori, Alireza; González-Cabrera, Joel; Hernández Rodríguez, Carmen Sara; ",Genetic variability and pyrethroid susceptibility of the parasitic honey bee mite Varroa destructor (Acari: Varroidae) in Iran,Experimental and Applied Acarology,76,,139-148,2018,Springer International Publishing
"Nanetti, Antonio; Rovida, Angela; Piazza, Paolo; Martini, Andrea; Besana, Andrea Maria; Tampieri, Maria Paola; ",Treatments of honey bee colonies affected by Varroa destructor in organic apiculture,,,,,2006,
"Wantuch, Holly A; Tarpy, David R; ",Removal of drone brood from Apis mellifera (Hymenoptera: Apidae) colonies to control Varroa destructor (Acari: Varroidae) and retain adult drones,Journal of economic entomology,102,6,2033-2040,2009,"Oxford University Press Oxford, UK"
"Girişgin, Ahmet Onur; Özüiçli, Mehmet; Bah, Saidal Ali; Girişgin, Oya; Aydın, Levent; ",Evaluation of some synthetic acaricides against varroa destructor (acari: varroidae) in Turkey: an ındication of resistance or misuse of fumigant amitraz?,,,,,2018,Bursa Uludağ Üniversitesi
"Damiani, Natalia; Fernández, Natalia J; Maldonado, Luis M; Álvarez, Alejandro R; Eguaras, Martín J; Marcangeli, Jorge A; ",Bioactivity of propolis from different geographical origins on Varroa destructor (Acari: Varroidae),Parasitology research,107,,31-37,2010,Springer-Verlag
"Allabergenova, A; Turganbayeva, G; Nurseitova, M; ",Control of Varroa Destructor in Kazakhstan,Archives of Razi Institute,76,5,1389,2021,Razi Vaccine and Serum Research Institute
"Pirali-Kheirabadi, Khodadad; Teixeira-da-Silva, Jaime A; Razzaghi-Abyaneh, Mehdi; Nazemnia, Mehdi; ",A field experiment to assess the rate of infestation in honey bee populations of two Metarhizium anisopliae isolates on Varroa destructor (Acari: Mesostigmata),Journal of arthropod-borne diseases,7,1,15,2013,Tehran University of Medical Sciences
"Guichard, Matthieu; Dietemann, Vincent; Neuditschko, Markus; Dainat, Benjamin; ",Advances and perspectives in selecting resistance traits against the parasitic mite Varroa destructor in honey bees,Genetics Selection Evolution,52,1,Jan-22,2020,BioMed Central
"Semkiw, Piotr; Skubida, Piotr; Pohorecka, Krystyna; ",The amitraz strips efficacy in control of Varroa destructor after many years application of amitraz in apiaries,Journal of Apicultural Science,57,1,107-121,2013,
"Stevanovic, Jevrosima; Stanimirovic, Zoran; Lakic, Nada; Djelic, Ninoslav; Radovic, Ivica; ",Stimulating effect of sugar dusting on honey bee grooming behaviour,Entomologia Experimentalis et Applicata,143,1,23-30,2012,Wiley Online Library
"Bogdanov, Stefan; Imdorf, Anton; Kilchenmann, Verena; ",Residues in wax and honey after Apilife VAR® treatment,Apidologie,29,6,513-524,1998,EDP Sciences
"Yoder, Jay A; Sammataro, Diana; ",Potential to control Varroa mites (Acari: Varroidae) using chemical ecology,International Journal of Acarology,29,2,139-143,2003,Taylor & Francis
"Faraj, THS; Rashed, Rukhosh J; Lazim, Zainab S; Atta, Dlshad M; ","Study the effect of some plants extracts to control Varroa destructor Anderson and Trueman mite (Acari: Varroidae), and activity of honey bees (Apis mellifera L.),(Hymenoptera: Apidae)",Euphrates Journal of Agriculture Science,13,3,60-69,2021,Al-qasim green University
"O'Reilly, Andrias O; Williamson, Martin S; González‐Cabrera, Joel; Turberg, Andreas; Field, Linda M; Wallace, Bonnie A; Davies, TG Emyr; ",Predictive 3D modelling of the interactions of pyrethroids with the voltage‐gated sodium channels of ticks and mites,Pest management science,70,3,369-377,2014,Wiley Online Library
"Abdel-Rahman, MF; Rateb, SH; ",Evaluation of lemon juice for controlling Varroa destructor in honeybee colonies,Assiut J. Agric. Sci,2,,195-206,2008,
"Moro, Arrigo; Beaurepaire, Alexis; Dall’Olio, Raffaele; Rogenstein, Steve; Blacquière, Tjeerd; Dahle, Bjørn; de Miranda, Joachim R; Dietemann, Vincent; Locke, Barbara; Licón Luna, Rosa María; ",Using citizen science to scout honey bee colonies that naturally survive Varroa destructor infestations,Insects,12,6,536,2021,MDPI
"Siceanu, Adrian; Căuia, Eliza; Vișan, Gabriela Oana; Căuia, Dumitru; ",Preliminary researches regarding the effectiveness of the formic acid treatment on varroa (Varroa destructor) found in the artificially decapped bee brood,Journal of Agricultural Science and Technology A & B,9,,248-261,2019,
"Lambert, Olivier; Piroux, Mélanie; Puyo, Sophie; Thorin, Chantal; L'Hostis, Monique; Wiest, Laure; Buleté, Audrey; Delbac, Frédéric; Pouliquen, Hervé; ",Widespread occurrence of chemical residues in beehive matrices from apiaries located in different landscapes of Western France,PloS one,8,6,e67007,2013,"Public Library of Science San Francisco, USA"
