Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Tentcheva, Diana; Gauthier, Laurent; Zappulla, Nathalie; Dainat, Benjamin; Cousserans, François; Colin, Marc Edouard; Bergoin, Max; ",Prevalence and seasonal variations of six bee viruses in Apis mellifera L. and Varroa destructor mite populations in France,Applied and environmental microbiology,70,12,7185-7191,2004,Am Soc Microbiol
"Giacobino, Agostina; Pacini, Adriana; Molineri, Ana; Rodriguez, Graciela; Crisanti, Paola; Cagnolo, Natalia Bulacio; Merke, Julieta; Orellano, Emanuel; Bertozzi, Ezequiel; Pietronave, Hernan; ",Potential associations between the mite Varroa destructor and other stressors in honeybee colonies (Apis mellifera L.) in temperate and subtropical climate from Argentina,Preventive veterinary medicine,159,,143-152,2018,Elsevier
"Branco, Manuela R; Kidd, Neil AC; Pickard, Robert S; ",A comparative evaluation of sampling methods for Varroa destructor (Acari: Varroidae) population estimation,Apidologie,37,4,452-461,2006,EDP Sciences
"Romo-Chacón, Alejandro; Martínez-Contreras, Liz J; Molina-Corral, F Javier; Acosta-Muñiz, Carlos H; Ríos-Velasco, Claudio; de León-Door, Adrián Ponce; Rivera, Raúl; ","Evaluation of Oregano (Lippia berlandieri) Essential Oil and Entomopathogenic Fungi for Varroa destructor1 Control in Colonies of Honey Bee, Apis mellifera2",Southwestern Entomologist,41,4,971-982,2016,BioOne
"Traynor, Kirsten S; Mondet, Fanny; de Miranda, Joachim R; Techer, Maeva; Kowallik, Vienna; Oddie, Melissa AY; Chantawannakul, Panuwan; McAfee, Alison; ","Varroa destructor: A complex parasite, crippling honey bees worldwide",Trends in parasitology,36,7,592-606,2020,Elsevier
"Mitton, Giulia A; Quintana, Silvina; Gimenez Martinez, Pablo; Mendoza, Yamandú; Ramallo, Gustavo; Brasesco, Constanza; Villalba, Agustina; Eguaras, Martín J; Maggi, Matías D; Ruffinengo, Sergio R; ",First record of resistance to flumethrin in a varroa population from Uruguay,Journal of Apicultural Research,55,5,422-427,2016,Taylor & Francis
"Martin, Stephen J; Elzen, Patti J; Rubink, William R; ",Effect of acaricide resistance on reproductive ability of the honey bee mite Varroa destructor,Experimental & applied acarology,27,,195-207,2002,Kluwer Academic Publishers
"Pietropaoli, Marco; Formato, Giovanni; ",Formic acid combined with oxalic acid to boost the acaricide efficacy against Varroa destructor in Apis mellifera,Journal of Apicultural Research,61,3,320-328,2022,Taylor & Francis
"Floris, Ignazio; Cabras, Paolo; Garau, Vincenzo L; Minelli, Elizabeth V; Satta, Alberto; Troullier, Jerome; ",Persistence and effectiveness of pyrethroids in plastic strips against Varroa jacobsoni (Acari: Varroidae) and mite resistance in a Mediterranean area,Journal of Economic Entomology,94,4,806-810,2001,"Oxford University Press Oxford, UK"
"Lee, Joonhee; Kim, Young Ho; Kim, Kyungmun; Kim, Dongwon; Lee, Si Hyeock; Kim, Sanghyeon; ","Selection of stable reference genes for quantitative real‐time PCR in the Varroa mite, Varroa destructor",Archives of Insect Biochemistry and Physiology,110,3,e21905,2022,
"Giacobino, Agostina; Molineri, Ana; Cagnolo, Natalia Bulacio; Merke, Julieta; Orellano, Emanuel; Bertozzi, Ezequiel; Masciángelo, Germán; Pietronave, Hernán; Pacini, Adriana; Salto, César; ",Risk factors associated with failures of Varroa treatments in honey bee colonies without broodless period,Apidologie,46,,573-582,2015,Springer Paris
"Van Dooremalen, Coby; Gerritsen, Lonne; Cornelissen, Bram; van der Steen, Jozef JM; van Langevelde, Frank; Blacquiere, Tjeerd; ",Winter survival of individual honey bees and honey bee colonies depends on level of Varroa destructor infestation,PloS one,7,4,e36285,2012,"Public Library of Science San Francisco, USA"
"Giusti, Matteo; Sabelli, Cristiano; Di Donato, Alberto; Lamberti, Devis; Paturzo, Chiara Elisabetta; Polignano, Valentina; Lazzari, Roberto; Felicioli, Antonio; ","Efficacy and safety of Varterminator, a new formic acid medicine against the varroa mite",Journal of Apicultural Research,56,2,162-167,2017,Taylor & Francis
"Morfin, Nuria; Rawn, Devan; Petukhova, Tatiana; Kozak, Paul; Eccles, Les; Chaput, Jim; Pasma, Tim; Guzman-Novoa, Ernesto; ","Surveillance of synthetic acaricide efficacy against Varroa destructor in Ontario, Canada",The Canadian Entomologist,154,1,e17,2022,Cambridge University Press
